,region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,trans_adder_per_mw,capital_adder_per_mw,dist_spur_km,dist_reinforcement_km
42226,p46023,8,31718,252.0,129849.459,116421.072,13428.388,13.582,214.245
42227,p46023,8,31719,258.0,56296.475,38495.816,17800.659,0.435,210.427
42228,p46023,8,32479,258.0,81058.142,74705.17,6352.972,5.4,202.336
42229,p46023,8,32480,258.0,103638.055,98396.352,5241.703,9.922,184.745
42230,p46023,9,30575,264.0,127022.491,112502.395,14520.096,14.728,269.102
42231,p46023,9,30954,246.0,183011.157,183402.146,-390.99,22.197,310.469
42232,p46023,9,30956,270.0,78699.228,59381.731,19317.497,3.306,256.837
42233,p46023,9,30957,252.0,88263.524,69719.892,18543.632,4.916,249.744
42234,p46023,9,31336,264.0,111119.767,99420.897,11698.87,10.574,238.899
42235,p46023,9,31337,264.0,56961.552,42816.17,14145.382,0.981,237.543
42236,p46023,9,31338,264.0,117895.002,104852.016,13042.986,11.803,221.487
42237,p46023,9,31717,264.0,58687.078,53568.371,5118.708,2.337,226.704
42238,p46023,9,31720,246.0,143252.482,122486.767,20765.715,17.083,177.564
42239,p46023,9,32098,264.0,45539.673,42029.743,3509.93,0.816,209.399
42240,p46023,9,32099,264.0,56271.003,39957.064,16313.939,0.63,198.751
42241,p46023,9,32100,264.0,60863.607,48388.991,12474.616,1.71,184.475
42242,p46025,8,24122,258.0,173727.701,151753.261,21974.44,22.316,275.196
42243,p46025,8,24124,258.0,95687.266,66994.586,28692.68,4.414,277.325
42244,p46025,8,24502,264.0,163130.689,143490.369,19640.32,20.98,266.339
42245,p46025,8,24882,270.0,177704.989,153086.781,24618.207,23.217,264.052
42246,p46025,8,25262,264.0,208358.737,174558.868,33799.868,27.5,268.651
42247,p46025,8,25264,258.0,126059.949,96302.742,29757.208,9.579,243.016
42248,p46025,8,25642,258.0,147937.979,116003.218,31934.761,15.831,268.651
42249,p46025,8,25644,246.0,177720.481,146343.502,31376.98,20.932,243.016
42250,p46025,8,26022,264.0,97072.765,63907.478,33165.287,3.945,269.408
42251,p46025,9,24123,246.0,68784.724,41954.178,26830.546,0.795,283.805
42252,p46025,9,24503,270.0,194123.426,174730.43,19392.996,26.949,243.144
42253,p46025,9,24504,258.0,158869.439,131391.62,27477.819,18.93,243.144
42254,p46025,9,24883,252.0,168506.023,135685.07,32820.953,19.659,243.144
42255,p46025,9,24884,270.0,122321.189,89468.43,32852.758,8.223,243.144
