,ba,nercr,transreg,transgrp,cendiv,st,interconnect,st_interconnect,country,usda_region,h2ptcreg,hurdlereg,aggreg,transmiso
155,p156,nrn26,CAN,CAN,New_England,PEI,eastern,PEI,CAN,other,CAN,CAN,CAN,CAN
156,p157,nrn27,MEX,MEX,MEX,SIN_SON,mexico,SIN_SON,MEX,other,MEX,MEX,MEX,MEX
157,p158,nrn27,MEX,MEX,MEX,SIN_SON,mexico,SIN_SON,MEX,other,MEX,MEX,MEX,MEX
158,p159,nrn27,MEX,MEX,MEX,SIN_SON,mexico,SIN_SON,MEX,other,MEX,MEX,MEX,MEX
159,p160,nrn27,MEX,MEX,MEX,SIN_SON,mexico,SIN_SON,MEX,other,MEX,MEX,MEX,MEX
160,p161,nrn27,MEX,MEX,MEX,SIN_SON,mexico,SIN_SON,MEX,other,MEX,MEX,MEX,MEX
161,p162,nrn27,MEX,MEX,MEX,SIN_SON,mexico,SIN_SON,MEX,other,MEX,MEX,MEX,MEX
162,p163,nrn27,MEX,MEX,MEX,CHH,mexico,CHH,MEX,other,MEX,MEX,MEX,MEX
163,p164,nrn27,MEX,MEX,MEX,CHH,mexico,CHH,MEX,other,MEX,MEX,MEX,MEX
164,p165,nrn27,MEX,MEX,MEX,CHH,mexico,CHH,MEX,other,MEX,MEX,MEX,MEX
165,p166,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,COA_DGO_NLE,MEX,other,MEX,MEX,MEX,MEX
166,p167,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,COA_DGO_NLE,MEX,other,MEX,MEX,MEX,MEX
167,p168,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,COA_DGO_NLE,MEX,other,MEX,MEX,MEX,MEX
168,p169,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX,MEX,MEX,MEX
169,p170,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX,MEX,MEX,MEX
170,p171,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX,MEX,MEX,MEX
171,p172,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,COA_DGO_NLE,MEX,other,MEX,MEX,MEX,MEX
172,p173,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,COA_DGO_NLE,MEX,other,MEX,MEX,MEX,MEX
173,p174,nrn27,MEX,MEX,MEX,SLP,mexico,SLP,MEX,other,MEX,MEX,MEX,MEX
174,p175,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX,MEX,MEX,MEX
175,p176,nrn27,MEX,MEX,MEX,SLP,mexico,SLP,MEX,other,MEX,MEX,MEX,MEX
